"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
"0500000US06055","Napa County, California","136858","*****","113086","2615","2947","605","555","301","9943","621","177","191","6488","2341","3662","1037","1123","628","2539","845"
"0500000US06057","Nevada County, California","98794","*****","92399","1010","269","247","964","453","1468","424","501","610","1292","848","1901","758","585","454","1316","738"
"0500000US06059","Orange County, California","3018963","*****","1847904","20090","49754","2117","11467","2192","545758","4533","10460","1658","462009","19318","91611","6184","19243","3285","72368","5817"
"0500000US06061","Placer County, California","350048","*****","291215","3311","4488","949","3940","802","20678","2323","1182","642","14222","3403","14323","2982","3059","1301","11264","2730"
"0500000US06065","Riverside County, California","2203332","*****","1485062","15941","135262","4282","20934","4554","133094","4358","8075","1810","327347","17477","93558","8434","25243","4126","68315","7376"
"0500000US06067","Sacramento County, California","1421959","*****","858281","10503","144245","4519","14094","3404","203260","5199","14055","1118","97194","10222","90830","7286","17390","3521","73440","7055"
"0500000US06071","San Bernardino County, California","2042441","*****","1313582","16688","179225","5954","19997","4307","128660","3408","6446","1428","303067","15910","91464","8420","27438","4026","64026","7524"
"0500000US06073","San Diego County, California","3105989","*****","2222991","15072","154579","3397","18485","3002","335190","5800","12806","2062","214663","14612","147275","8854","28148","3883","119127","7524"
"0500000US06075","San Francisco County, California","805463","*****","414524","6735","49349","1606","3985","1506","269050","3219","3465","266","36188","6368","28902","3568","4133","1502","24769","3419"
"0500000US06077","San Joaquin County, California","687744","*****","421928","8473","48254","2956","10037","3264","97726","3968","3342","571","63462","7985","42995","5719","6449","1584","36546","5676"
"0500000US06079","San Luis Obispo County, California","270113","*****","222650","3550","6650","927","2294","862","8603","1263","70","82","22282","3822","7564","1740","1727","959","5837","1618"
"0500000US06081","San Mateo County, California","720162","*****","424098","8177","17657","1716","3444","1722","179613","3267","10988","617","46911","7199","37451","4216","7488","1889","29963","3783"
"0500000US06083","Santa Barbara County, California","424712","*****","330859","7121","8155","1571","4318","1388","21684","1299","142","173","44541","7829","15013","2510","2465","980","12548","2204"
